# Dirsearch started Thu Dec  2 16:43:42 2021 as: dirsearch.py -u www.baidu.com

301   232B   http://www.baidu.com:80/js    -> REDIRECTS TO: http://www.baidu.com/js/
302   231B   http://www.baidu.com:80/.hta    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess-local    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.ht_wsr.txt    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess-dev    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.bak    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.BAK    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.bak1    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.orig    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.sample    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.inc    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.save    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.old    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess_extra    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess.txt    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccessBAK    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess_sc    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccessOLD2    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccessOLD    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswd-old    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htm    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess~    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswd    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswd.bak    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.html    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswd.inc    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswd/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswds    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess_orig    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htpasswd_test    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htgroup    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htusers    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.htaccess-marco    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   http://www.baidu.com:80/.httr-oauth    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
